"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-11-30","Czwartek","Święto św. Andrzeja, Apostoła
Św. Andrzeja, Apostoła
","Iz 49,1-6 lub Rz 10,9-18, Ps 19, 2-3. 4-5ab, Mt 4,18-22"
"2023-12-01","Piątek","

","Dn 7,2-14, Dn 3,77-82, Łk 21,29-33"
"2023-12-02","Sobota","
Bł. Rafała Chylińskiego, Prezbitera
","Dn 7,15-27, Dn 3,83-87.56, Łk 21,34-36"
"2023-12-03","Niedziela","I NIEDZIELA ADWENTU
Św. Franciszka Ksawerego, Prezbitera
","Jr 33,14-16, Ps 25,4-5.8-10.14, 1 Tes 3,12-4,2, Łk 21,25-28.34-36"
"2023-12-04","Poniedziałek","
Św. Jana Damasceńskiego, Prezbitera I Doktora Kościoła
","Iz 2,1-5, Ps 122,1-2.4-9, Mt 8,5-11"
"2023-12-05","Wtorek","

","Iz 11,1-10, Ps 72,1-2.7-8.12-13.17, Łk 10,21-24"
"2023-12-06","Środa","
Św. Mikołaja, Biskupa
","Iz 25,6-10a, Ps 23, 1-2a. 2b-3. 4. 5. 6, Mt 15,29-37"
"2023-12-07","Czwartek","
Św. Ambrożego, Biskupa I Doktora Kościoła
","Iz 26-1-6, Ps 118,1.8-9.19-21.25-27, Mt 7,21.24-27"
"2023-12-08","Piątek","Uroczystość Niepokalanego Poczęcia Najświętszej Maryi Panny
Niepokalane Poczęcie Najśw. Maryi Panny
","Rdz 3,9-15.20, Ps 98,1-4, Ef 1,3-6.11-12, Łk 1,26-38"
"2023-12-09","Sobota","
Św. Jana Diego Cuahtlatoatzin
","Iz 30,19-21.23-26, Ps 147,1-2.3-4.5-6, Mt 9,35-10,1.6-8"
"2023-12-10","Niedziela","II NIEDZIELA ADWENTU
W Diecezji Warszawsko-Praskiej: Najśw. Maryi Panny Loretańskiej
","Iz 40,1-5.9-11, Ps 85,9-14, 2 P 3,8-14, Mk 1,1-8"
"2023-12-11","Poniedziałek","
Św. Damazego I, Papieża
","Iz 35,1-10, Ps 85,9-14, Łk 5,17-26"
"2023-12-12","Wtorek","
Najśw. Maryi Panny Z Guadalupe
","Iz 40,1-11, Ps 96,1-3.10-13, Mt 18,12-14"
"2023-12-13","Środa","
Św. Łucji, Dziewicy I Męczennicy
","Iz 40,25-31, Ps 103,1-4.8.10, Mt 11,28-30"
"2023-12-14","Czwartek","
Św. Jana Od Krzyża, Prezbitera I Doktora Kościoła
","Iz 41,13-20, Ps 145,1.9-13, Mt 11,11-15"
"2023-12-15","Piątek","

","Iz 48,17-19, Ps 1,1-4.6, Mt 11,16-19"
"2023-12-16","Sobota","

","Syr 48,1-4.9-11, Ps 80,2-3.15-16.18-19, Mt 17,10-13"
"2023-12-17","Niedziela","III NIEDZIELA ADWENTU

","Iz 61,1-2a.10-11, Łk 1,46-50.53-54, 1 Tes 5,16-24, J 1,6-8.19-28"
"2023-12-18","Poniedziałek","

","Jr 23,5-8, Ps 72,1-2.12-13.18-19, Mt 1,18-24"
"2023-12-19","Wtorek","

","Sdz 13,2-7.24-25a, Ps 71,3-6.16-17, Łk 1,5-25"
"2023-12-20","Środa","

","Iz 7,10-14, Ps 24,1-6, Łk 1,26-38"
"2023-12-21","Czwartek","
Św. Piotra Kanizjusza, Prezbitera I Doktora Kościoła
","Pnp 2,8-14 lub So 3,14-18a, Ps 33,2-3.11-12.20-21, Łk 1,39-45"
"2023-12-22","Piątek","

","1 Sm 1,24-28, Ps: 1 Sm 2,1.4-8, Łk 1,46-56"
"2023-12-23","Sobota","

","Ml 3,1-4.23-24, Ps 25,4-5.8-10.14, Łk 1,57-66"
"2023-12-24","Niedziela","Wigilia Narodzenia Pańskiego

","2 Sm 7,1-5.8b-12.14a.16, Ps 89, Łk 1,67-79, Iz 9,1-3.5-6, Ps 96, Tt 2,11-14, Łk 2,1-14, 2 Sm 7,1-5.8b-12.14a.16, Ps 89, 2-5.27.29, Rz 16,25-27, Łk 1,26-38"
"2023-12-25","Poniedziałek","Msza św. o świcie
Narodzenie Pańskie
","Iz 62,11-12, Ps 97,1.6.11-12, Tt 3,4-7, Łk 2,15-20, Iz 52,7-10, Ps 98, Hbr 1,1-6, J 1,1-18"
"2023-12-26","Wtorek","Święto św. Szczepana, pierwszego męczennika
Św. Szczepana, Pierwszego Męczennika
","Dz 6,8-10;7,54-60, Ps 31,3-4.6.8.16-17, Mt 10,17-22"
"2023-12-27","Środa","Święto św. Jana, Apostoła i Ewangelisty
Św. Jana, Apostoła I Ewangelisty
","1 J 1,1-4, Ps 97,1-2.5-6.11-12, J 20,2-8"
"2023-12-28","Czwartek","Święto świętych Młodzianków
Św. Młodzianków, Męczenników
","1 J 1,5-2,2, Ps 124,2-5.7-8, Mt 2,13-18"
"2023-12-29","Piątek","Oktawa Narodzenia Pańskiego
Św. Tomasza Becketa, Biskupa I Męczennika
","1 J 2,3-11, Ps 96,1-3.5b-6, Łk 2,22-35"
"2023-12-30","Sobota","Oktawa Narodzenia Pańskiego

","1 J 2,12-17, Ps 96,7-10, Łk 2,36-40"
"2023-12-31","Niedziela","NIEDZIELA ŚWIĘTEJ RODZINY
Św. Sylwestra I, Papieża
","Syr 3,2-6.12-14, Ps 128, Kol 3,12-21, Łk 2,41-52"
"2024-01-01","Niedziela","NIEDZIELA ŚWIĘTEJ RODZINY
Św. Sylwestra I, Papieża
","Syr 3,2-6.12-14, Ps 128, Kol 3,12-21, Łk 2,41-52"
