"Data","Dzień tygodnia","Wspomnienie","Sigla"
"2023-03-02","Czwartek","

","Est 14,1.3-5.12-14, Ps 138,1-3.7c-8, Mt 7,7-12"
"2023-03-03","Piątek","

","Ez 18,21-28, Ps 130,1-8, Mt 5,20-26"
"2023-03-04","Sobota","Święto św. Kazimierza, królewicza
Św. Kazimierza, Królewicza
","Syr 51,13-20, Ps 16,1-2.5.7-8.11, Flp 3,8-14, Łk 12,35-40"
"2023-03-05","Niedziela","II NIEDZIELA WIELKIEGO POSTU

","Rdz 12,1-4a, Ps 33,4-5.18-20.22, 2 Tm 1,8b-10, Mt 17,1-9"
"2023-03-06","Poniedziałek","

","Dn 9,4b-10, Ps 79,8-9.11.13, Łk 6,36-38"
"2023-03-07","Wtorek","
Świętych Męczennic Perpetuy I Felicyty
","Iz 1, 10.16-20, Ps 50,8-9.16bc-17.21.23, Mt 23,1-12"
"2023-03-08","Środa","
Św. Jana Bożego, Zakonnika
","Jr 18,18-20, Ps 31,5-6.15-16, Mt 20,17-28"
"2023-03-09","Czwartek","
Św. Franciszki Rzymianki, Zakonnicy
","Jr 17,5-10, Ps 1,1-4.6, Łk 16,19-31"
"2023-03-10","Piątek","

","Rdz 37,3-4.12-13a.17b-28, Ps 105,16-21, Mt 21,33-43.45-46"
"2023-03-11","Sobota","

","Mi 7,14-15.18-20, Ps 103,1-4.9-12, Łk 15,1-3.11-32"
"2023-03-12","Niedziela","III NIEDZIELA WIELKIEGO POSTU
W Diecezji Polowej: Rocznica Poświęcenia Kościoła Katedralnego W Warszawie
","Wj 17,3-7, Ps 95,1-2.6-9, Rz 5,1-2.5-8, J 4,5-42"
"2023-03-13","Poniedziałek","

","2 Krl 5,1-15a, Ps 42,2-3; Ps 43,3-4, Łk 4,24-30"
"2023-03-14","Wtorek","

","Dn 3,25.34-43, Ps 25,4-9, Mt 18,21-35"
"2023-03-15","Środa","
W Archidiecezjach Krakowskiej I Warszawskiej Oraz Diecezji Warszawsko-Praskiej: Św. Klemensa Marii Hofbauera, Prezbitera
","Pwt 4,1.5-9, Ps 147,12-13.15-16.19-20, Mt 5,17-19"
"2023-03-16","Czwartek","

","Jr 7,23-28, Ps 95,1-2.6-9, Łk 11,14-23"
"2023-03-17","Piątek","
Św. Patryka, Biskupa
","Oz 14,2-10, Ps 81,6-11.14.17, Mk 12,28b-34"
